ZIPCODE,NUM_RETURNS,MEAN_AGI
03588,850,64816.470588235294
03590,440,49450.0
03592,560,78176.78571428571
03593,170,107164.70588235294
03598,1780,64614.606741573036
03601,280,71646.42857142857
03602,1380,76676.8115942029
03603,2650,63183.77358490566
03605,540,76175.92592592593
03607,110,64627.27272727273
03608,1500,109446.66666666667
03609,400,62275.0
03740,550,69361.81818181818
03741,2160,73261.11111111111
03743,6600,59205.0
03745,690,97095.65217391304
03748,2550,90945.49019607843
03750,530,500675.4716981132
03752,460,66136.95652173914
03753,1990,147108.54271356785
03755,3420,250769.88304093567
03765,270,72696.29629629629
03766,5590,103180.14311270125
03768,850,253630.58823529413
03770,350,137451.42857142858
03771,430,73897.67441860466
03773,3960,75240.15151515152
03774,930,64176.344086021505
03777,680,110744.11764705883
03779,410,80160.9756097561
03780,230,78982.60869565218
03781,920,113281.52173913043
03782,1720,201610.46511627908
03784,2310,95821.21212121213
03785,1100,59076.36363636364
03801,13120,179647.1036585366
03809,2120,104091.50943396226
03810,1100,146411.81818181818
03811,4190,128859.42720763723
03812,360,71280.55555555556
03813,1800,98366.11111111111
03814,1220,75201.6393442623
03816,680,79642.64705882352
03817,340,77688.23529411765
03818,2160,76402.77777777778
03819,2350,93286.8085106383
03820,17640,98525.0566893424
03823,980,144620.4081632653
03824,3480,153015.5172413793
03825,5070,94815.5818540434
03826,1530,104943.13725490196
03827,1730,122872.8323699422
03830,910,86506.59340659341
03833,12190,132352.3379819524
03835,3490,68061.03151862464
03836,870,100963.2183908046
03837,740,86894.5945945946
03838,830,110662.65060240965
03839,2270,70505.28634361233
03840,2310,167467.53246753247
03841,3450,109281.44927536232
03842,9380,139486.2473347548
03844,1350,187070.37037037036
03845,760,87786.84210526316
03846,560,151551.7857142857
03848,3380,101455.91715976331
03849,770,87716.88311688312
03851,2140,75081.30841121495
03852,310,71858.06451612903
03853,380,195918.42105263157
03855,1510,93841.05960264901
03856,970,174778.3505154639
03857,5230,95219.12045889102
03858,2570,93753.69649805447
03860,2410,93232.78008298755
03861,2300,111150.86956521739
03862,2700,239162.96296296295
03864,960,75939.58333333333
03865,4360,88401.14678899082
03867,11430,67363.25459317585
03868,3160,69112.02531645569
03869,1380,96710.14492753622
03870,2920,253570.20547945207
03872,2220,84629.27927927928
03873,3480,96570.11494252873
03874,5110,84895.69471624267
03875,470,91538.29787234042
03878,6670,68768.8155922039
03882,720,63680.555555555555
03883,130,67423.07692307692
03884,2210,96609.04977375566
03885,4220,160748.10426540286
03886,920,69466.30434782608
03887,1160,72179.31034482758
03890,450,67728.88888888889
03894,3350,147238.80597014926
03901,4080,73354.90196078431
03902,1480,125864.18918918919
03903,3680,101255.70652173914
03904,4490,93143.20712694878
03905,1030,136578.64077669903
03906,2790,73588.53046594982
03907,1050,125368.57142857143
03908,3930,85575.57251908397
03909,5610,119212.47771836007
04001,1380,77727.53623188406
04002,4170,72400.71942446043
04003,200,100155.0
04005,12560,66763.29617834395
04008,1630,76284.04907975461
04009,2850,69433.33333333333
04010,840,62103.57142857143
04011,11100,88840.27027027027
04015,1780,76605.61797752809
04017,220,140690.9090909091
04020,850,61505.882352941175
04021,3450,156028.98550724637
04022,630,73206.3492063492
04024,340,61158.82352941176
04027,3120,68286.85897435897
04029,1050,69240.95238095238
04030,1160,69001.72413793103
04032,4470,128025.95078299777
04037,1980,58146.46464646464
04038,9080,95570.04405286344
04039,4510,79718.84700665188
04040,1630,73904.2944785276
04041,850,51394.117647058825
04042,2620,71711.83206106871
04043,6530,106326.0336906585
04046,4430,119235.44018058691
04047,1070,57511.214953271025
04048,1720,66498.83720930232
04049,2010,64639.800995024874
04050,120,88908.33333333333
04051,570,71412.28070175438
04055,2160,76293.51851851853
04061,1830,64225.68306010929
04062,10250,85187.31707317074
04064,5400,70046.85185185185
04066,370,105475.67567567568
04068,690,51895.65217391304
04069,880,111345.45454545454
04071,2760,95770.28985507246
04072,11500,81510.0
04073,8970,59124.191750278704
04074,12000,128987.83333333333
04076,1500,73442.66666666667
04079,2220,117092.7927927928
04083,2520,63537.30158730159
04084,4300,79079.30232558139
04085,990,68159.59595959596
04086,5290,84500.7561436673
04087,1340,68844.02985074627
04088,750,62562.666666666664
04090,6540,92150.76452599389
04091,510,60976.470588235294
04092,10730,66719.19850885367
04093,4410,71504.08163265306
04095,740,56604.05405405405
04096,4680,172136.9658119658
04097,2170,133174.6543778802
04101,10120,90184.28853754941
04102,9430,88520.99681866384
04103,16460,88492.04131227218
04105,6600,205532.12121212122
04106,14980,78834.44592790387
04107,4870,201193.42915811087
04108,570,106585.9649122807
04110,920,300095.652173913
04210,11440,65756.29370629371
04216,310,65512.903225806454
04217,1830,82412.56830601093
04219,780,61437.179487179485
04220,1520,62785.52631578947
04221,440,50206.818181818184
