ZIPCODE,POPULATION_DENSITY
00985,4493.300553165335
00987,2562.223295500282
01001,1457.6668984700975
01002,527.5401797875238
01003,14587.90436005626
01005,114.74854276806289
01007,278.49280431930947
01008,23.4749637559942
01009,912.5615763546797
01010,103.79040607385252
01011,43.361291343567025
01012,50.39646233607807
01013,4117.187499999999
01020,2368.702594810379
01022,513.5135135135135
01026,39.408456571547596
01027,436.04938271604937
01028,1215.213358070501
01029,49.77917981072555
01030,987.3085709450884
01031,161.22272895353137
01032,48.45290717443047
01033,223.8800604012368
01034,28.211678322654492
01035,227.44010743837458
01036,262.26899383983573
01037,59.40734439245711
01038,254.7802582841125
01039,101.09723798713583
01040,1884.2428537680132
01050,66.01262850284402
01053,328.3960241668291
01054,81.21983326020185
01056,775.9026398999927
01057,189.85961867894727
01060,1399.1212010252655
01062,614.2235443177436
01063,11025.641025641025
01066,90.014064697609
01068,91.35007924691416
01069,301.50592758731176
01070,30.539910662264518
01071,102.54433307632999
01072,73.6312459522742
01073,205.74026712134128
01074,3752.941176470588
01075,989.2758367669471
01077,308.2762871881387
01079,615.1111111111111
01080,1351.4765489287781
01081,116.98243196693076
01082,223.78319783197833
01083,183.3301593347299
01084,19.15333550984873
01085,688.6692906791726
01086,18567.567567567567
01088,128.94534257120858
01089,1697.3157171040832
01092,207.78059323297066
01093,64.4457664088836
01094,307.35551663747816
01095,636.541453656368
01096,70.0142112742776
01097,59.23159018143009
01098,35.105060102668745
01103,5389.130434782608
01104,4383.627300613497
01105,9935.63958165728
01106,1727.7040871346921
01107,7704.711347047114
01108,7164.563758389261
01109,5557.5969134668385
01118,3914.0472878998607
01119,3986.478873239437
01128,2359.641255605381
01129,2048.147067405894
01151,3671.5913887716333
01199,0.0
01201,878.4781910572946
01220,349.843438656419
01222,250.6803749622014
01223,33.16611724236778
01224,654.6762589928057
01225,124.13875502807757
01226,263.42740100136547
01229,129.6043656207367
01230,92.11503999300668
01235,60.590129460471836
01236,314.11323896752714
01237,40.366794430158656
01238,173.5897803932826
01240,212.09711372035366
01242,955.8232931726908
01243,17.92518649707508
01244,61.63265306122449
01245,35.197427193139184
01247,306.2323916850682
01253,39.97375184557336
01254,66.66209450654962
01255,17.6644336763258
01256,19.300496457856866
01257,58.558807288790724
01258,14.480969528013318
01259,25.084933238524137
01260,95.57945041816009
01262,102.84100348895166
01264,12.07899841297831
01266,56.15476144781791
01267,146.5145707631082
01270,24.423934199786526
01301,694.2810072958343
01330,45.20214905303599
01331,249.1874119304838
01337,69.70250241649661
01338,54.171494785631516
01339,26.17972618700845
01340,38.84803361805143
01341,51.32297354052918
01342,83.5948005378754
01343,15.406737880032866
01344,110.05804129013298
01346,24.957857276643566
01347,286.70120898100174
01349,141.89101313564834
01350,11.297852474323062
01351,108.50860420650095
01354,108.93246187363835
01355,18.537677089711377
01360,88.49195925634065
01364,203.1146454605699
01366,31.62613304274605
01367,19.675097056273795
01368,30.139343674562014
01370,81.97017441743773
01373,190.3264512391907
01375,259.05351241122287
01376,1903.846153846154
01378,22.747310879915357
01379,26.91785584213488
01420,1330.3759894459104
01430,164.79917722204178
01431,129.90196078431373
01432,836.855152874513
01434,340.09094353921944
01436,347.8623566214807
01438,1031.3653136531364
01440,846.6275537802188
01450,324.7910183659772
01451,248.001671803981
01452,106.73746772543478
01453,1435.599410070932
01460,540.3245337854203
01462,381.75624526873577
01463,509.14485629511535
01464,481.43944451862734
01467,167.28427739544733
01468,187.86208185385908
01469,298.51204845718297
01473,205.3329571106095
01474,213.9764374181855
01475,239.68446601941747
01501,1039.7128258198047
01503,220.90334515184213
01504,812.4212421242124
01505,271.2212742106246
01506,218.31530139103555
01507,307.75978567533605
01510,2406.863612241288
01515,221.10807252101694
01516,231.16671199347292
01518,334.7968028819093
01519,604.1590326126786
01520,774.2560017701073
01521,201.93716425199415
01522,202.07570207570208
01523,300.8491389572256
01524,418.9713427606057
01525,645.8797327394209
01527,850.3017075362691
01529,655.8388157894738
01531,48.116751758019454
01532,766.3364192518001
01534,642.9550125599452
01535,220.04889975550122
01536,826.295585412668
01537,321.9707820108851
01540,583.6650297234428
01541,96.32535561074738
01542,546.9448584202682
01543,227.04749971522952
01545,1701.4846235418877
01550,826.0783635555116
01560,1270.9152161706907
01561,2682.9268292682927
01562,355.950785722987
01564,255.0300496472433
01566,222.02624523775924
01568,348.62043251305
01569,466.6414471421692
01570,1356.882738528769
01571,546.7549923195085
01581,886.9472355710889
01583,601.6008876208591
01585,178.25270079849696
01588,1130.561040771286
01590,277.18783184458744
01602,3956.137309292649
01603,4414.007092198582
01604,5386.300093196645
01605,4648.289310405957
01606,3218.1174089068827
01607,2640.214985773
01608,8678.571428571428
01609,5867.835645119078
01610,11273.540489642184
01611,651.3654851830331
01612,316.3771712158809
01701,1839.86562150056
01702,4599.57967610335
01718,10195.652173913044
01719,485.75595527467186
01720,1083.5446890534647
01721,1345.0875486381324
01730,964.9660608714692
01731,1762.6262626262626
01740,245.53750501403923
01741,317.66400419012706
01742,725.4051399574398
01745,994.9874686716792
01746,726.2249383510239
01747,1142.2222222222222
01748,569.1134413727359
01749,1653.7694109482086
01752,1845.1473759884975
01754,1940.1036667306587
01756,328.5505289218995
01757,1883.9207787848272
01760,2212.728622528177
01770,260.89435013934633
01772,688.7680094089974
01773,375.30284120108655
01775,380.4190959995382
01776,728.5366558026321
01778,862.0939102985664
01801,3072.178788596699
01803,2090.9401417470754
01810,1076.9754768392368
01821,1829.6510925993
01824,1402.5674230054615
01826,1423.5533191407
01827,193.22878677364452
01830,1818.3593749999998
01832,1935.0877192982455
01833,636.3636363636363
01834,727.2010808376492
01835,1751.6323134041736
01840,9504.016064257028
01841,15293.069948186529
01843,7241.328194485621
01844,2127.1835044120294
01845,1078.7200852261917
01850,11203.676470588234
01851,9025.4110612855
01852,6742.0523138833005
01854,7017.285205897305
01860,746.085932901707
01862,1106.8181818181818
01863,1924.4588744588743
01864,1131.5249601094142
01867,2406.428930185836
01876,1400.85027365129
01879,672.8766144872329
01880,3578.2696759259256
01886,725.7968522682185
01887,1314.4724446537916
01890,3544.761273209549
01901,6810.483870967742
01902,18784.436121514773
01904,4024.541233694451
01905,7096.964586846542
01906,2468.9757362474534
01907,4621.746293245469
01908,3260.038240917782
01913,1324.6827204685974
01915,2617.7601060304837
01921,338.0610641640834
01922,323.98623996664236
01923,1994.8504354411207
01929,250.94893647496957
01930,1098.8587350662237
01937,2068.4931506849316
01938,433.0178137119569
01940,1148.5486624928856
01944,556.506663777224
01945,4516.187870497036
01949,668.3772125539194
01950,2085.748502994012
01951,258.2190289571086
01952,538.7667490568492
01960,3181.8125039035663
01966,994.8483113909558
01969,334.85818847209515
01970,5067.677514792899
01982,547.6089716462124
01983,511.33691635875044
01984,636.50607128868
01985,314.94013534617386
02019,890.3183602267771
02021,1147.6552935540533
02025,770.6928264868179
02026,2411.770447003709
02030,370.2060011922899
02032,1806.7550235143224
02035,849.3654311039484
02038,1187.5
02043,998.9630297565375
02045,3866.64162283997
02047,753.1380753138076
02048,1153.2033426183843
02050,873.8788274511152
02052,834.7681199666758
02053,1104.5474231268947
02054,656.2707917498337
02056,738.8145058198211
02061,501.5994270709
02062,2761.877172653534
02066,1041.9592800236057
02067,771.1236549656024
02071,1759.7938144329898
02072,1678.2073595226254
